City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Waterford,US,2022-01-25 15:07:30,42.7023,-83.4027,16.79,87,20,8.05
118,Aasiaat,GL,2022-01-25 15:07:31,68.7098,-52.8699,5.25,94,92,6.67
119,Akureyri,IS,2022-01-25 15:07:31,65.6835,-18.0878,36.41,98,98,9.82
120,Fortuna,US,2022-01-25 15:07:32,40.5982,-124.1573,42.98,92,0,5.01
121,Kaitangata,NZ,2022-01-25 15:07:32,-46.2817,169.8464,48.79,92,11,4.65
122,Paita,PE,2022-01-25 15:07:32,-5.0892,-81.1144,77.56,75,100,9.84
123,Sitka,US,2022-01-25 15:07:33,57.0531,-135.33,40.89,81,100,3.44
124,Tautira,PF,2022-01-25 15:07:33,-17.7333,-149.15,80.01,81,98,16.06
125,Carutapera,BR,2022-01-25 15:07:33,-1.195,-46.02,81.14,84,98,6.46
126,Tezu,IN,2022-01-25 15:07:33,27.9167,96.1667,59.38,62,86,2.86
127,Kismayo,SO,2022-01-25 15:07:34,-0.3582,42.5454,79.0,76,9,20.98
128,Nicoya,CR,2022-01-25 15:07:34,10.1483,-85.452,81.95,46,8,3.38
129,Sumenep,ID,2022-01-25 15:07:34,-7.0167,113.8667,80.2,87,86,15.9
130,Novo Aripuana,BR,2022-01-25 15:07:34,-5.1206,-60.3797,86.41,64,99,4.45
131,Bandar-E Lengeh,IR,2022-01-25 15:07:17,26.5579,54.8807,68.86,51,0,3.96
132,Acapulco,MX,2022-01-25 15:07:35,16.8634,-99.8901,75.02,73,20,6.91
133,Tabou,CI,2022-01-25 15:07:35,4.423,-7.3528,84.94,58,0,9.71
134,Aricestii-Rahtivani,RO,2022-01-25 15:07:36,44.95,25.8333,33.53,37,93,4.47
135,Bilibino,RU,2022-01-25 15:07:36,68.0546,166.4372,-40.4,96,99,2.68
136,Qaanaaq,GL,2022-01-25 15:07:36,77.484,-69.3632,-9.92,55,61,8.63
137,Port Elizabeth,ZA,2022-01-25 15:07:36,-33.918,25.5701,73.09,74,48,12.84
138,Codrington,AU,2022-01-25 15:07:37,-38.2667,141.9667,68.54,53,29,9.31
139,Coquimbo,CL,2022-01-25 15:08:37,-29.9533,-71.3436,64.13,82,75,9.22
140,Kaduqli,SD,2022-01-25 15:08:37,11.0167,29.7167,90.52,11,76,12.01
141,Nikolskoye,RU,2022-01-25 15:08:37,59.7035,30.7861,28.29,97,14,4.88
142,Khatanga,RU,2022-01-25 15:08:38,71.9667,102.5,8.58,84,85,17.22
143,Arraial Do Cabo,BR,2022-01-25 15:08:38,-22.9661,-42.0278,85.86,62,0,19.57
